T,A,7,0,5
T,A,7,0,5
CF705,0,0
RM705,0,0
TA705,0,0
CF709,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
rb1705,1014318,32166114640.0
ru1705,135484,26895347900.0
rb1710,82536,2579612260.0
ru1709,17452,3479406900.0
TA705,597492,3230041752.0
CF709,3584,55874560.0
CF705,76370,1168079150.0
TA709,20528,113150336.0
RM705,231532,561233568.0
RM709,22642,54431368.0
m1709,74614,2187595120.0
m1705,460028,13478722880.0
cu1706,936,218757100.0
cu1705,7036,1641781400.0
rb1705,0,0
ru1705,0,0
rb1710,0,0
m1709,0,0
m1705,0,0
ru1709,0,0
cu1706,0,0
cu1705,0,0
RM709,0,0
TA709,0,0
CF705,0,0
RM705,0,0
TA705,0,0
CF709,0,0
rb1705,853158,27329319060.0
ru1705,174598,34616556700.0
rb1710,86604,2730607640.0
ru1709,22600,4483793800.0
RM705,139528,338773984.0
TA705,475136,2635104256.0
TA709,16310,92053640.0
CF709,5374,85527210.0
CF705,167212,2613523560.0
RM709,9814,23671368.0
m1705,304052,8897987320.0
cu1706,560,131446900.0
cu1705,5266,1234536100.0
m1709,44556,1307137460.0
rb1705,2951792,96323705380.0
ru1705,489432,98275247900.0
cu1706,2016,475375800.0
cu1705,22536,5307605600.0
rb1710,318094,10203492260.0
ru1709,0,0
CF705,0,0
CF709,0,0
RM705,0,0
TA705,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
rb1705,696088,22836408400.0
ru1705,155604,31458327100.0
rb1710,64498,2073667300.0
ru1709,16022,3234590500.0
TA705,308032,1708961536.0
CF709,2988,47658600.0
CF705,61428,961041060.0
TA709,10962,61869528.0
RM705,275834,666414944.0
RM709,27584,66174016.0
m1709,59536,1734938940.0
m1705,547224,15913001080.0
cu1706,3524,843551100.0
cu1705,15400,3680958700.0
rb1705,1804114,59314658060.0
ru1705,349686,70772577700.0
cu1705,30170,7218615700.0
rb1710,195728,6308632220.0
cu1706,6446,1544557900.0
ru1709,38222,7730661200.0
CF705,0,0
CF709,0,0
RM705,0,0
TA705,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
rb1705,1895436,63296135200.0
ru1705,442524,92929563000.0
rb1710,220248,7174683680.0
ru1709,66810,14114745600.0
cu1706,0,0
cu1705,0,0
CF705,0,0
RM705,0,0
TA705,0,0
CF709,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
rb1705,0,0
ru1705,0,0
cu1706,0,0
ru1709,0,0
cu1705,0,0
rb1710,0,0
CF705,0,0
RM705,0,0
RM709,0,0
TA709,0,0
TA705,0,0
CF709,0,0
m1705,0,0
m1709,0,0
rb1705,623732,19274241000.0
ru1705,92512,18691744500.0
rb1710,129132,3954298420.0
ru1709,15246,3107523000.0
TA705,384130,2215661840.0
CF709,5520,89976000.0
CF705,83080,1328449200.0
TA709,16800,98347200.0
RM705,272430,670177800.0
RM709,41174,101288040.0
cu1706,556,130948000.0
cu1705,6534,1534585400.0
rb1705,0,0
ru1705,0,0
cu1706,0,0
cu1705,0,0
rb1710,0,0
ru1709,0,0
CF705,0,0
RM705,0,0
TA705,0,0
CF709,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
rb1705,624454,19688671780.0
ru1705,100570,20751596500.0
rb1710,219808,6813331320.0
ru1709,17624,3654321500.0
TA705,469086,2686924608.0
CF709,2694,43858320.0
CF705,62008,989957720.0
TA709,32272,187564864.0
RM705,303070,742521500.0
RM709,63038,155136518.0
m1709,141688,4170086800.0
m1705,617684,18049870460.0
cu1705,6198,1458066900.0
cu1706,554,130467000.0
rb1705,0,0
ru1705,0,0
cu1705,0,0
rb1710,0,0
ru1709,0,0
cu1706,0,0
CF705,0,0
CF709,0,0
RM705,0,0
TA705,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
rb1705,896784,29079524960.0
ru1705,115674,23927712800.0
rb1710,208616,6616642220.0
ru1709,20162,4196353100.0
CF705,56506,899010460.0
RM705,283768,707433624.0
TA705,345720,1990655760.0
CF709,4894,79527500.0
TA709,22144,129320960.0
RM709,46394,116031394.0
m1709,139164,4164519460.0
m1705,614046,18247777640.0
cu1705,16692,3997226800.0
cu1706,1854,444874000.0
rb1705,0,0
ru1705,0,0
cu1706,0,0
cu1705,0,0
rb1710,0,0
ru1709,0,0
CF705,0,0
RM705,0,0
TA705,0,0
CF709,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
rb1705,1283760,41480022660.0
ru1705,156810,32316628800.0
ru1709,28294,5865318100.0
rb1710,189866,6023168920.0
TA705,323080,1848017600.0
CF709,2564,41626540.0
CF705,44098,700717220.0
TA709,25504,148025216.0
RM705,241526,602848896.0
RM709,36338,90881338.0
m1709,75236,2245830900.0
m1705,442228,13159265420.0
cu1705,15480,3688729500.0
cu1706,1388,331612500.0
rb1705,0,0
ru1705,0,0
ru1709,0,0
rb1710,0,0
cu1706,0,0
cu1705,0,0
CF705,0,0
CF709,0,0
RM705,0,0
TA709,0,0
TA705,0,0
RM709,0,0
m1705,0,0
m1709,0,0
