rb1705,0,0
ru1705,0,0
ru1709,0,0
rb1710,0,0
cu1706,0,0
cu1705,0,0
CF705,0,0
CF709,0,0
RM705,0,0
TA709,0,0
TA705,0,0
RM709,0,0
m1705,0,0
m1709,0,0
rb1705,3013910,102449336880.0
ru1705,536396,116327303200.0
m1705,1524204,45761277220.0
cu1705,125076,31083169400.0
rb1710,863332,28763476220.0
m1709,422880,12722020360.0
ru1709,113776,24841017500.0
cu1706,0,0
CF705,0,0
CF709,0,0
RM705,0,0
TA705,0,0
RM709,0,0
TA709,0,0
rb1705,612646,21027990060.0
ru1705,114660,25134635500.0
rb1710,151490,5088992680.0
ru1709,23960,5279866100.0
RM705,254220,639363300.0
TA705,509364,2980798128.0
TA709,44964,266726448.0
CF709,12212,200826340.0
CF705,188212,3030213200.0
RM709,31720,79934400.0
m1709,90778,2725284720.0
m1705,510246,15275590860.0
cu1705,28120,7041968800.0
cu1706,3786,951069000.0
rb1705,2325432,79526438040.0
ru1705,362642,79398101400.0
rb1710,628496,21031950540.0
cu1706,0,0
cu1705,0,0
ru1709,0,0
CF705,0,0
CF709,0,0
RM705,0,0
TA705,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
rb1710,291948,9724625380.0
ru1709,57940,12705238800.0
rb1705,1373562,46752495460.0
ru1705,297262,64658325300.0
TA705,1091048,6334624688.0
TA709,122094,718401096.0
CF705,100720,1598930000.0
RM705,302852,749861552.0
CF709,9306,151222500.0
RM709,71064,176522976.0
m1705,676082,19939753860.0
cu1705,65614,16212514600.0
cu1706,9116,2260277000.0
rb1710,783848,26155244180.0
ru1709,111380,24388911400.0
rb1705,3270352,111607549860.0
ru1705,536014,116403954500.0
cu1705,102828,25348368800.0
cu1706,0,0
TA705,0,0
CF709,0,0
RM709,0,0
TA709,0,0
CF705,0,0
RM705,0,0
m1709,0,0
m1705,0,0
ru1709,35214,7595507300.0
rb1705,1157722,39125156200.0
ru1705,162506,34710340600.0
rb1710,336004,11088255640.0
TA705,543276,3099932856.0
CF709,7734,124633410.0
CF705,72572,1141557560.0
TA709,89724,518425272.0
RM705,234896,580428016.0
RM709,46306,114792574.0
m1709,147348,4368109280.0
m1705,564722,16637413100.0
cu1705,30206,7402353200.0
cu1706,4706,1156004900.0
ru1709,142924,30627932600.0
rb1705,4519446,154637775180.0
ru1705,638726,135310775900.0
rb1710,1261222,42127687540.0
cu1706,13192,3246930300.0
cu1705,89842,22075024600.0
CF705,0,0
RM705,0,0
CF709,0,0
TA705,0,0
RM709,0,0
TA709,0,0
m1709,0,0
m1705,0,0
ru1709,33158,6856606500.0
rb1705,1165050,39897946440.0
ru1705,160936,32871454300.0
rb1710,196794,6566542200.0
TA705,499202,2840459380.0
CF709,3352,53983960.0
CF705,45502,715063930.0
TA709,49564,286083408.0
RM705,309454,771468822.0
RM709,63700,159759600.0
m1709,176108,5268617440.0
m1705,693878,20607846220.0
cu1705,35974,8779348400.0
cu1706,5026,1229775100.0
ru1709,112184,23158724200.0
rb1705,3592718,124010627980.0
ru1705,513038,104566879100.0
cu1705,82654,20161554600.0
rb1710,733376,24586843720.0
cu1706,11636,2846505800.0
CF705,0,0
RM705,0,0
TA705,0,0
CF709,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
ru1709,42258,8658584800.0
rb1705,1280022,44728552980.0
ru1705,153752,31138843700.0
rb1710,272586,9209213420.0
TA705,564430,3189029500.0
CF709,4982,79188890.0
CF705,48084,745302000.0
TA709,44454,254721420.0
RM705,144798,352438332.0
RM709,33802,83254326.0
m1709,112410,3304237580.0
m1705,406130,11819898560.0
cu1706,3388,821893600.0
cu1705,32030,7749068400.0
rb1705,3980144,139998973240.0
ru1705,490032,98991821800.0
cu1705,73576,17881637400.0
rb1710,874486,29627877080.0
ru1709,120186,24590109400.0
cu1706,10662,2601133100.0
CF705,0,0
RM705,0,0
TA705,0,0
CF709,0,0
RM709,0,0
TA709,0,0
m1705,0,0
m1709,0,0
ru1709,27590,5707567000.0
rb1705,977592,34880696420.0
ru1705,111566,22763326300.0
rb1710,140166,4800296080.0
RM705,138718,338749356.0
TA705,429128,2449462624.0
